"","Sample_Number","Year","Month","Date","Site","Number_of_Samples","Sample_Replicate","Wet_Weight","Dry_Weight","Ratio_Dry_to_Wet","Analytical_Dry_Weight","Carbon_%","Hydrogen_%","Nitrogen_%","Carbon_Nitrogen_Ratio","Notes"
"3",666,2002,5,2002-05-07,"MOHK",10,1,0.51,0.05,0.09,2058,23.34,3.38,2.91,8.03,"used average of individual plants"
"4",666,2002,5,2002-05-07,"MOHK",10,2,0.51,0.05,0.09,2212,21.8,3.02,2.69,8.09,"used average of individual plants"
"5",677,2002,5,2002-05-10,"ABUR",10,1,-99999,-99999,-99999,2074,21.81,3.17,2.69,8.12,""
"6",677,2002,5,2002-05-10,"ABUR",10,2,-99999,-99999,-99999,2066,20.25,2.74,2.42,8.37,""
"7",688,2002,5,2002-05-15,"AQUE",10,1,3.68,0.36,0.1,2419,24.77,3.58,3.73,6.64,""
"8",688,2002,5,2002-05-15,"AQUE",10,2,3.68,0.36,0.1,2320,23.38,3.38,3.46,6.76,""
"9",699,2002,6,2002-06-10,"MOHK",10,1,4.29,0.43,0.1,2129,24.97,3.64,1.79,13.94,""
"10",699,2002,6,2002-06-10,"MOHK",10,2,4.29,0.43,0.1,2155,23.29,3.16,1.77,13.2,""
"11",710,2002,6,2002-06-12,"ABUR",10,1,4.68,0.4,0.09,2195,34.28,5.04,3.22,10.66,""
"12",710,2002,6,2002-06-12,"ABUR",10,2,4.68,0.4,0.09,2273,32.27,4.38,2.81,11.47,""
"13",726,2002,6,2002-06-13,"AQUE",10,1,0.22,0.02,0.08,2086,37.11,5.26,4.28,8.67,""
"14",726,2002,6,2002-06-13,"AQUE",10,2,0.22,0.02,0.08,2203,35.27,4.65,4.09,8.62,""
"15",736,2002,7,2002-07-10,"MOHK",8,1,3.13,0.3,0.1,2092,27.79,4.05,2.51,11.09,""
"16",736,2002,7,2002-07-10,"MOHK",8,2,3.13,0.3,0.1,2249,27.82,4.06,2.47,11.26,""
"17",762,2002,7,2002-07-11,"AQUE",14,1,4.58,0.39,0.09,2031,32.34,4.9,1.07,30.14,""
"18",762,2002,7,2002-07-11,"AQUE",14,2,4.58,0.39,0.09,2376,32.28,4.93,1.06,30.45,""
"19",747,2002,7,2002-07-12,"ABUR",10,1,4.38,0.45,0.1,2296,31.66,5.04,2.23,14.22,""
"20",747,2002,7,2002-07-12,"ABUR",10,2,4.38,0.45,0.1,2285,30.68,4.52,2.02,15.16,""
"21",797,2002,8,2002-08-07,"AQUE",12,1,6.66,0.44,0.07,2646,24.78,3.49,1.94,12.8,""
"22",797,2002,8,2002-08-07,"AQUE",12,2,6.66,0.44,0.07,2059,24.12,3.1,1.83,13.19,""
"23",773,2002,8,2002-08-08,"MOHK",10,1,4.3,0.41,0.09,1797,25.32,3.32,2.07,12.24,""
"24",773,2002,8,2002-08-08,"MOHK",10,2,4.3,0.41,0.09,1941,24.97,3.23,2.05,12.17,""
"25",784,2002,8,2002-08-09,"ABUR",10,1,4.81,0.45,0.09,2375,33.33,4.86,2.84,11.72,""
"26",784,2002,8,2002-08-09,"ABUR",10,2,4.81,0.45,0.09,2203,33.32,4.6,2.83,11.77,""
"27",834,2002,9,2002-09-04,"AQUE",12,1,-99999,-99999,-99999,2172,26.63,3.7,1.12,23.88,"no data for wet/dry weights"
"28",834,2002,9,2002-09-04,"AQUE",12,2,-99999,-99999,-99999,2058,26.63,3.65,1.18,22.63,"no data for wet/dry weights"
"29",808,2002,9,2002-09-05,"MOHK",10,1,3.99,0.33,0.08,2298,31.95,4.91,2.27,14.1,""
