Nitrogen_sp,Season,day_rep,time,blade_rep,uptake_rate,p_uptake,pct_N_final,pct_N_initial
ammonium,spring,1,1,1,0.037968932,7.332699399,1.1588,1.15807836
ammonium,spring,1,1,2,0.016780444,3.166863692,1.1324,1.132087499
ammonium,spring,1,1,3,0.020409218,5.526641707,1.6248,1.624290708
ammonium,spring,1,5,1,0.011032641,2.416953996,1.3145,1.313314804
ammonium,spring,1,5,2,0.008296485,2.591728718,1.8744,1.87315991
ammonium,spring,1,5,3,0.012146422,3.446803835,1.7027,1.701022538
ammonium,spring,1,15,1,0.008797384,1.740798916,1.1873,1.184743628
ammonium,spring,1,15,2,0.014433176,2.711887608,1.1274,1.123393221
ammonium,spring,1,15,3,0.013440169,3.123396351,1.3944,1.38980942
ammonium,spring,1,45,1,0.003826007,0.725900008,1.1384,1.135197413
ammonium,spring,1,45,2,0.006957747,1.407646546,1.2139,1.207687535
ammonium,spring,1,45,3,0.003463318,0.614066671,1.0639,1.061157404
ammonium,spring,2,1,1,0.013932425,4.056796891,1.7472,1.746753437
ammonium,spring,2,1,2,0.006206201,1.043056919,1.0085,1.008351248
ammonium,spring,2,1,3,0.014164091,3.478445411,1.4736,1.473226881
ammonium,spring,2,5,1,0.011317289,3.235709744,1.7155,1.713951641
ammonium,spring,2,5,2,0.011978328,1.928889037,0.9662,0.965285247
ammonium,spring,2,5,3,0.012962246,2.395578539,1.1089,1.107745917
ammonium,spring,2,15,1,0.007946186,1.143051726,0.8631,0.861440292
ammonium,spring,2,15,2,0.010309161,1.683336525,0.9798,0.977264351
ammonium,spring,2,15,3,0.011340307,1.979338589,1.0473,1.044358008
ammonium,spring,2,45,1,0.0085866,2.140423327,1.4957,1.486239174
ammonium,spring,2,45,2,0.006976005,1.904258828,1.6379,1.629492919
ammonium,spring,2,45,3,0.008298221,1.353254327,0.9785,0.972487087
ammonium,spring,3,1,1,0.002746013,1.031088415,2.2530,2.252932058
ammonium,spring,3,1,2,0.00660575,1.466996777,1.3325,1.332398079
ammonium,spring,3,1,3,0.003226058,1.17344164,2.1825,2.182431554
ammonium,spring,3,5,1,0.00551638,1.364597681,1.4843,1.483637861
ammonium,spring,3,5,2,0.002972502,0.916060705,1.8492,1.848718151
ammonium,spring,3,5,3,0.002899436,1.133353518,2.3454,2.344896179
ammonium,spring,3,15,1,0.00250537,0.807700885,1.9344,1.933240715
ammonium,spring,3,15,2,0.002500773,0.837082357,2.0085,2.007252288
ammonium,spring,3,15,3,0.004409415,1.398155707,1.9026,1.900548011
ammonium,spring,3,45,1,0.004857427,1.199636826,1.4819,1.476577204
ammonium,spring,3,45,2,0.008082284,1.667462645,1.2379,1.230518987
ammonium,spring,3,45,3,0.003428228,1.023389026,1.7912,1.786681578
ammonium,spring,4,1,1,0.011147207,3.309255441,1.7813,1.780980347
ammonium,spring,4,1,2,0.009065455,2.944520452,1.9489,1.948654317
ammonium,spring,4,1,3,0.00601939,2.076386069,2.0698,2.069603418
ammonium,spring,4,5,1,0.005072124,1.713642117,2.0272,2.026397029
ammonium,spring,4,5,2,0.009573311,3.147036787,1.9725,1.970942935
ammonium,spring,4,5,3,0.001988394,0.893727775,2.6970,2.696539928
ammonium,spring,4,15,1,0.003821617,1.3668934,2.1462,2.144151282
ammonium,spring,4,15,2,0.001634646,0.653493282,2.3988,2.397829268
ammonium,spring,4,15,3,0.007755217,2.470411834,1.9114,1.907756189
ammonium,spring,4,45,1,0.003913521,1.362406623,2.0889,2.08287568
ammonium,spring,4,45,2,0.003695413,1.224074787,1.9876,1.982155754
ammonium,spring,4,45,3,0.005624094,2.008386957,2.1427,2.133892599
ammonium,spring,5,1,1,0.01355623,4.54007043,2.0095,2.00910052
ammonium,spring,5,1,2,0.006722703,1.754510052,1.5660,1.56580676
ammonium,spring,5,1,3,0.019166891,4.005019935,1.2538,1.253401334
ammonium,spring,5,5,1,0.010132576,1.587378228,0.9400,0.93922857
ammonium,spring,5,5,2,0.005969377,1.09956031,1.1053,1.104715645
ammonium,spring,5,5,3,0.008438716,1.331190615,0.9465,0.945878612
ammonium,spring,5,15,1,0.01625788,2.929386683,1.0812,1.076805737
ammonium,spring,5,15,2,0.010997032,2.178906863,1.1889,1.18564855
ammonium,spring,5,15,3,0.010607692,2.154591305,1.2188,1.215567326
ammonium,spring,5,45,1,0.005376727,1.153699518,1.2875,1.282379801
ammonium,spring,5,45,2,0.005212482,1.413720571,1.6274,1.621137232
ammonium,spring,5,45,3,0.005589409,1.043990458,1.1207,1.116094322
ammonium,summer,1,1,1,0.016295905,2.987404814,1.1000,1.099697105
ammonium,summer,1,1,2,0.016332021,3.392496888,1.2464,1.246054204
ammonium,summer,1,1,3,0.017099559,4.902174062,1.7202,1.719714384
ammonium,summer,1,5,1,0.016394673,3.052333355,1.1171,1.115619925
ammonium,summer,1,5,2,0.006998749,2.750546005,2.3582,2.356813765
ammonium,summer,1,5,3,0.020270344,4.528121539,1.3404,1.338156056
ammonium,summer,1,15,1,0.005348684,1.829381321,2.0523,2.049567659
ammonium,summer,1,15,2,0.007137326,1.954013672,1.6427,1.639847222
ammonium,summer,1,15,3,0.008299873,2.251095292,1.6274,1.624086774
ammonium,summer,1,45,1,0.002993695,1.173022493,2.3511,2.345954951
ammonium,summer,1,45,2,0.00603691,1.234205163,1.2267,1.221237739
ammonium,summer,1,45,3,0.003749185,1.050560667,1.6814,1.676702977
ammonium,summer,2,1,1,0.008526257,3.332828032,2.3455,2.345137849
ammonium,summer,2,1,2,0.010543822,2.70243749,1.5379,1.537646816
ammonium,summer,2,1,3,0.037351422,10.92320918,1.7548,1.753684973
ammonium,summer,2,5,1,0.021611499,5.501482843,1.5275,1.524748315
ammonium,summer,2,5,2,0.012725737,2.721362875,1.2832,1.281807433
ammonium,summer,2,5,3,0.009812751,3.567297375,2.1813,2.179591929
ammonium,summer,2,15,1,0.003276865,1.228903542,2.2503,2.248461899
ammonium,summer,2,15,2,0.003300234,0.939771613,1.7086,1.70725892
ammonium,summer,2,15,3,0.008373694,2.671506395,1.9143,1.91038385
