Nitrogen_sp,Season,day_rep,time,interval,uptake_rate,p_uptake,pct_N_final,pct_N_initial 
ammonium,spring,1,1,1,0.025052864,0.381576305,1.3053,1.2947
ammonium,spring,1,5,4,0.006851595,0.156257309,1.7119,1.6531
ammonium,spring,1,15,10,0.01308944,0.169913834,1.0393,1.2213
ammonium,spring,1,45,30,0.001011748,0.007937581,1.0899,1.1321
ammonium,spring,2,1,1,0.011434239,0.20424522,1.4097,1.4284
ammonium,spring,2,5,4,0.012248884,0.173943973,1.2270,1.2726
ammonium,spring,2,15,10,0.00875485,0.08163099,0.8133,0.9665
ammonium,spring,2,45,30,0.006997804,0.135572412,1.5744,1.3931
ammonium,spring,3,1,1,0.004192607,0.087417306,1.9227,1.9080
ammonium,spring,3,5,4,0.00369698,0.079753171,1.8855,1.9055
ammonium,spring,3,15,10,0.002809726,0.068033392,1.9763,1.9495
ammonium,spring,3,45,30,0.00661471,0.102720554,1.2813,1.5044
ammonium,spring,4,1,1,0.008744017,0.19833719,1.9334,1.9194
ammonium,spring,4,5,4,0.004744758,0.121677806,2.3070,2.2319
ammonium,spring,4,15,10,0.003833435,0.09188082,2.1121,2.1460
ammonium,spring,4,45,30,0.004414601,0.110640555,2.0335,2.0730
ammonium,spring,5,1,1,0.013148608,0.245228581,1.6098,1.6040
ammonium,spring,5,5,4,0.006938127,0.058280032,0.8441,0.9961
ammonium,spring,5,15,10,0.01484119,0.211553874,1.2458,1.1574
ammonium,spring,5,45,30,0.001778875,0.042516033,1.4364,1.3565
ammonium,summer,1,1,1,0.016575828,0.268620852,1.3555,1.3749
ammonium,summer,1,5,4,0.014049279,0.240315052,1.6676,1.6000
ammonium,summer,1,15,10,0.003115647,0.092529404,1.8586,1.7753
ammonium,summer,1,45,30,0.002925581,0.05165327,1.7425,1.7902
ammonium,summer,2,1,1,0.018807167,0.403773207,1.8794,1.8436
ammonium,summer,2,5,4,0.013694036,0.249953814,1.6101,1.6582
ammonium,summer,2,15,10,0.000117065,0.03250478,2.1046,1.9383
ammonium,summer,2,45,30,0.003404632,0.11591533,2.6826,2.4208
ammonium,summer,3,1,1,0.035324571,0.38104442,1.0281,1.0609
ammonium,summer,3,5,4,0.032354117,0.341550273,1.2294,1.2140
ammonium,summer,3,15,10,0.000558679,0.03669748,1.1157,1.1757
ammonium,summer,3,45,30,0.005836529,0.097335598,1.4427,1.2737
ammonium,summer,4,1,1,0.028732608,0.487099488,1.5485,1.5365
ammonium,summer,4,5,4,0.007411351,0.197796682,1.8534,1.8015
ammonium,summer,4,15,10,0.00812519,0.056330551,1.0542,1.3154
ammonium,summer,4,45,30,0.003829051,0.146832274,2.4627,2.0743
ammonium,summer,5,1,1,0.010032347,0.244484698,1.9271,1.9232
ammonium,summer,5,5,4,0.004903519,0.114068332,1.9978,1.9744
ammonium,summer,5,15,10,0.005126896,0.110793569,1.8635,1.9001
ammonium,summer,5,45,30,0.003481119,0.070093972,1.8193,1.8418
nitrate,spring,1,1,1,0.012094301,0.164377813,1.1607,1.1539
nitrate,spring,1,5,4,0.002651264,0.074025081,1.9327,1.8136
nitrate,spring,1,15,10,0.009823824,0.123202353,1.0161,1.2785
nitrate,spring,1,45,30,0.003232278,0.088688675,1.8834,1.6752
nitrate,spring,2,1,1,0.004808683,0.081542365,1.3628,1.3482
nitrate,spring,2,5,4,0.005627786,0.078183433,1.2401,1.2771
nitrate,spring,2,15,10,0.006629197,0.079590192,1.0777,1.1252
nitrate,spring,2,45,30,0.005548933,0.051766234,0.7550,0.8789
nitrate,spring,3,1,1,0.004192607,0.087417306,1.9227,1.9080
nitrate,spring,3,5,4,0.00369698,0.079753171,1.8855,1.9055
nitrate,spring,3,15,10,0.002809726,0.068033392,1.9763,1.9495
nitrate,spring,3,45,30,0.00661471,0.102720554,1.2813,1.5044
nitrate,spring,4,1,1,0.001965518,0.050935608,2.2292,2.2110
nitrate,spring,4,5,4,0.003163599,0.067524329,1.8864,1.9184
nitrate,spring,4,15,10,0.001363777,0.036624732,2.0901,2.0623
nitrate,spring,4,45,30,0.004429913,0.099064355,1.8296,1.8936
nitrate,spring,5,1,1,0.011901322,0.144387521,1.0155,1.0160
nitrate,spring,5,5,4,0.004853355,0.07587567,1.2999,1.2404
nitrate,spring,5,15,10,0.005172534,0.069416621,1.1973,1.1983
nitrate,spring,5,45,30,0.00546068,0.083702174,1.2631,1.2403
nitrate,summer,1,1,1,0.005798699,0.105502108,1.7569,1.7768
nitrate,summer,1,5,4,0.003922812,0.075802331,1.5552,1.5942
